trait,n_total,n_pos,AUPRC,coverage,cov_pos,cov_neg,frac_singleton,frac_both,frac_empty
AG,190,19,0.35285787940648294,0.9105263157894737,0.9473684210526315,0.9064327485380117,0.2,0.8,0.0
ALP,230,23,0.27642826955376204,0.9,0.8695652173913043,0.9033816425120773,0.20869565217391303,0.7913043478260869,0.0
BW,160,16,0.17761107197228845,0.85625,0.875,0.8541666666666666,0.29375,0.7,0.00625
Balding_Type4,130,13,0.4833586911496988,0.9307692307692308,1.0,0.9230769230769231,0.2230769230769231,0.7769230769230769,0.0
CRP,180,18,0.2705303445489691,0.9055555555555556,0.8888888888888888,0.9074074074074074,0.18333333333333332,0.8166666666666667,0.0
Ca,160,16,0.33219073260057597,0.86875,1.0,0.8541666666666666,0.2125,0.7875,0.0
Eosino,280,28,0.24078788070524584,0.9071428571428571,0.8571428571428571,0.9126984126984127,0.18928571428571428,0.8107142857142857,0.0
FEV1FVC,290,29,0.27399598171326295,0.8793103448275862,0.8620689655172413,0.8812260536398467,0.22758620689655173,0.7724137931034483,0.0
GGT,160,16,0.41461437189131184,0.9125,0.875,0.9166666666666666,0.2,0.8,0.0
HDLC,150,15,0.42205542067037605,0.94,1.0,0.9333333333333333,0.2,0.8,0.0
"Hb,Ht",120,12,0.41420466107966103,0.925,1.0,0.9166666666666666,0.2,0.8,0.0
HbA1c,230,23,0.411914710831085,0.8869565217391304,0.8695652173913043,0.8888888888888888,0.1956521739130435,0.8043478260869565,0.0
Height,700,70,0.2727731639029442,0.9114285714285715,0.8571428571428571,0.9174603174603174,0.1957142857142857,0.8028571428571428,0.0014285714285714286
IGF1,280,28,0.3142376557327995,0.875,0.7857142857142857,0.8849206349206349,0.24285714285714285,0.7571428571428571,0.0
Lym,280,28,0.3687180577218551,0.8964285714285715,0.9642857142857143,0.8888888888888888,0.175,0.8214285714285714,0.0035714285714285713
"MCH,MCV",270,27,0.2525078317627848,0.9037037037037037,0.8518518518518519,0.9094650205761317,0.21481481481481482,0.7851851851851852,0.0
MCV,120,12,0.21813213028650816,0.8833333333333333,0.9166666666666666,0.8796296296296297,0.2,0.7916666666666666,0.008333333333333333
Mono,390,39,0.29944613722339075,0.8923076923076924,0.9743589743589743,0.8831908831908832,0.21025641025641026,0.7897435897435897,0.0
PP,130,13,0.23093762472812512,0.9153846153846154,0.9230769230769231,0.9145299145299145,0.14615384615384616,0.8538461538461538,0.0
Plt,540,54,0.3313369424488099,0.9259259259259259,0.9629629629629629,0.9218106995884774,0.19814814814814816,0.8018518518518518,0.0
RBC,160,16,0.19982537828432684,0.8875,1.0,0.875,0.21875,0.76875,0.0125
SHBG,200,20,0.3486467524849734,0.905,0.95,0.9,0.195,0.805,0.0
TP,120,12,0.35750575881172897,0.875,1.0,0.8611111111111112,0.25833333333333336,0.7416666666666667,0.0
Urea,110,11,0.24029512611518725,0.8909090909090909,0.9090909090909091,0.8888888888888888,0.17272727272727273,0.8272727272727273,0.0
WHRadjBMI,110,11,0.5768596822072758,0.9272727272727272,1.0,0.9191919191919192,0.18181818181818182,0.8181818181818182,0.0
eBMD,600,60,0.3005922676417235,0.9,0.8666666666666667,0.9037037037037037,0.23666666666666666,0.7616666666666667,0.0016666666666666668
eGFR,190,19,0.24400550609621655,0.9157894736842105,0.9473684210526315,0.9122807017543859,0.18421052631578946,0.8157894736842105,0.0
eGFRcys,220,22,0.17772576959822728,0.9136363636363637,0.9545454545454546,0.9090909090909091,0.16818181818181818,0.8318181818181818,0.0
