trait,n_total,n_pos,AUPRC,coverage,cov_pos,cov_neg,frac_singleton,frac_both,frac_empty
MIM 125850,40,4,1.0,0.975,1.0,0.9722222222222222,0.675,0.3,0.025
MIM 127550,40,4,0.95,0.95,0.75,0.9722222222222222,0.775,0.2,0.025
MIM 141749,60,6,1.0,0.9333333333333333,1.0,0.9259259259259259,0.6,0.36666666666666664,0.03333333333333333
MIM 143890,120,12,1.0,0.85,1.0,0.8333333333333334,0.6416666666666667,0.24166666666666667,0.11666666666666667
MIM 174500,140,14,0.9498480243161094,0.9642857142857143,0.9285714285714286,0.9682539682539683,0.8357142857142857,0.1357142857142857,0.02857142857142857
MIM 180200,60,6,1.0,0.9,1.0,0.8888888888888888,0.7333333333333333,0.21666666666666667,0.05
MIM 187300,30,3,1.0,1.0,1.0,1.0,0.5333333333333333,0.4666666666666667,0.0
MIM 188000,90,9,0.16647873323019724,0.8,0.2222222222222222,0.8641975308641975,0.6111111111111112,0.34444444444444444,0.044444444444444446
MIM 210710,100,10,0.9999999999999999,0.9,1.0,0.8888888888888888,0.78,0.14,0.08
MIM 227500,50,5,0.9666666666666666,0.86,1.0,0.8444444444444444,0.66,0.3,0.04
MIM 250250,200,20,0.5724634121084646,0.915,0.5,0.9611111111111111,0.68,0.295,0.025
MIM 263700,30,3,1.0,0.9333333333333333,1.0,0.9259259259259259,0.6666666666666666,0.3333333333333333,0.0
MIM 277900,40,4,0.3722651222651222,0.85,0.75,0.8611111111111112,0.725,0.25,0.025
MIM 300624,40,4,0.95,0.95,0.75,0.9722222222222222,0.7,0.25,0.05
MIM 304790,30,3,1.0,0.9666666666666667,1.0,0.9629629629629629,0.7333333333333333,0.26666666666666666,0.0
MIM 306400,40,4,1.0,0.875,1.0,0.8611111111111112,0.725,0.175,0.1
MIM 306700,60,6,1.0,0.9333333333333333,1.0,0.9259259259259259,0.8,0.15,0.05
MIM 306900,210,21,0.9931869717584003,0.9476190476190476,1.0,0.9417989417989417,0.8,0.16666666666666666,0.03333333333333333
MIM 600886,250,25,1.0,0.84,1.0,0.8222222222222222,0.62,0.272,0.108
MIM 605407,30,3,1.0,0.9,1.0,0.8888888888888888,0.7333333333333333,0.2,0.06666666666666667
MIM 606176,30,3,0.40711462450592883,0.9666666666666667,1.0,0.9629629629629629,0.6333333333333333,0.36666666666666664,0.0
MIM 608030,40,4,1.0,0.95,1.0,0.9444444444444444,0.75,0.225,0.025
MIM 609310,30,3,0.9166666666666665,1.0,1.0,1.0,0.6,0.4,0.0
MIM 609637,40,4,1.0,0.85,1.0,0.8333333333333334,0.65,0.3,0.05
MIM 613985,230,23,0.9551642555172011,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.6347826086956522,0.3217391304347826,0.043478260869565216
MIM 614167,30,3,1.0,0.9666666666666667,1.0,0.9629629629629629,0.6666666666666666,0.3333333333333333,0.0
MIM 614429,40,4,1.0,0.925,1.0,0.9166666666666666,0.675,0.275,0.05
MIM 614743,220,22,0.9999999999999998,0.9,1.0,0.8888888888888888,0.6681818181818182,0.2545454545454545,0.07727272727272727
MIM 615935,50,5,1.0,0.94,1.0,0.9333333333333333,0.82,0.14,0.04
MIM 616651,50,5,1.0,0.9,1.0,0.8888888888888888,0.68,0.28,0.04
